Home,Away,Home_Score,Away_Score
Alhilal,Alqadisiah,4 , 1
Alahli,Alnasr,1 , 2
Alhazem,Albatin,1 , 0
Alettifaq,Alfaisali,3 , 4
Alfaihaa,Alfatih,1 , 2
Altaawon,Ohud,4 , 0
Alshabab,Alwehda,1 , 0
Alraed,Alittihad,1 , 1
Alfatih,Alahli,2 , 1
Alhazem,Alettifaq,1 , 1
Alittihad,Alhilal,0 , 2
Altaawon,Albatin,4 , 1
Alqadisiah,Alshabab,0 , 1
Alwehda,Ohud,4 , 1
Alraed,Alfaisali,0 , 3
Alnasr,Alfaihaa,1 , 0
Altaawon,Alettifaq,4 , 1
Ohud,Alfatih,0 , 0
Alshabab,Alnasr,0 , 1
Alraed,Alqadisiah,0 , 0
Alhilal,Alfaisali,2 , 1
Alahli,Alittihad,1 , 1
Albatin,Alwehda,1 , 1
Alhazem,Alfaihaa,0 , 1
Alshabab,Alfaisali,2 , 1
Altaawon,Alraed,2 , 1
Alqadisiah,Alahli,1 , 2
Alnasr,Alettifaq,3 , 2
Alhilal,Alwehda,1 , 1
Alittihad,Alfaihaa,2 , 0
Alfatih,Albatin,0 , 2
Alhazem,Ohud,2 , 2
Alfaisali,Alqadisiah,3 , 0
Altaawon,Alfatih,1 , 1
Alraed,Albatin,1 , 0
Alettifaq,Alshabab,1 , 1
Alhazem,Alittihad,0 , 3
Alwehda,Alnasr,0 , 4
Alhilal,Ohud,0 , 0
Alhazem,Alfatih,1 , 0
Alfaihaa,Albatin,2 , 1
Altaawon,Alwehda,1 , 0
Alettifaq,Alqadisiah,3 , 2
Alahli,Alraed,4 , 5
Alfaisali,Alittihad,3 , 2
Alnasr,Alhilal,3 , 2
Ohud,Alshabab,1 , 2
